jobid,submit,validate,depend,priority,alloc,start,finish,release,free,clean
ƒ2oLkTLb,1741618301.955886,1741618301.966409,1741618301.9767783,1741618301.9767978,1741618301.978179,1741618302.1903608,1741618302.1914725,1741618302.1914918,1741618302.1915135,1741618302.191534
ƒ2ouNBYB,1741618301.9775362,1741618301.9879684,1741618301.9983258,1741618301.9983468,1741618302.1931522,1741618302.1933832,1741618302.1935074,1741618302.1935272,1741618302.1935506,1741618302.1935625
ƒ2pSVvTR,1741618301.998771,1741618302.0092292,1741618302.0196111,1741618302.019633,1741618302.1947322,1741618302.194983,1741618302.1974213,1741618302.1974504,1741618302.1974697,1741618302.1974864
ƒ2pydfNf,1741618302.0200553,1741618302.030444,1741618302.0408027,1741618302.0408187,1741618302.1951354,1741618302.1953385,1741618302.1975272,1741618302.1975443,1741618302.1975658,1741618302.1975758
ƒ2qYFPaF,1741618302.0412412,1741618302.0516303,1741618302.061999,1741618302.0620213,1741618302.1955411,1741618302.1957557,1741618302.1976097,1741618302.1976287,1741618302.1976502,1741618302.1976597
ƒ2r5P8VV,1741618302.0624528,1741618302.0728557,1741618302.0832498,1741618302.0832672,1741618302.1955934,1741618302.1960728,1741618302.197691,1741618302.1977081,1741618302.197733,1741618302.197743
ƒ2rcWsQj,1741618302.0836608,1741618302.0940802,1741618302.104482,1741618302.104508,1741618302.195952,1741618302.1962354,1741618302.1977746,1741618302.1977916,1741618302.1978204,1741618302.197829
ƒ2s9ecKy,1741618302.1048906,1741618302.1153316,1741618302.1257207,1741618302.1257443,1741618302.1959994,1741618302.1964455,1741618302.1978667,1741618302.197883,1741618302.1979105,1741618302.197921
ƒ2siGLXZ,1741618302.126171,1741618302.1365812,1741618302.146972,1741618302.1469948,1741618302.196048,1741618302.1966555,1741618302.197954,1741618302.197971,1741618302.197992,1741618302.1980004
ƒ2tFQ5So,1741618302.1474168,1741618302.1578343,1741618302.1682339,1741618302.1682577,1741618302.1961136,1741618302.1968906,1741618302.1980302,1741618302.198046,1741618302.198071,1741618302.198079
ƒ2tnXpN3,1741618302.1686587,1741618302.179092,1741618302.1895063,1741618302.189523,1741618302.1961708,1741618302.1971087,1741618302.198118,1741618302.1981337,1741618302.1981568,1741618302.1981702
