jobid,submit,validate,depend,priority,alloc,start,finish,release,free,clean
ƒ8HhrEFR,1741617684.5408616,1741617684.5514028,1741617684.56178,1741617684.561811,1741617684.5632179,1741617684.7547953,1741617684.7563324,1741617684.756353,1741617684.7563853,1741617684.756405
ƒ8JGTxT1,1741617684.562436,1741617684.573088,1741617684.5835102,1741617684.5835445,1741617684.5844896,1741617684.755142,1741617684.756465,1741617684.7564862,1741617684.7565162,1741617684.7565248
ƒ8JobhNF,1741617684.5840821,1741617684.5945177,1741617684.6049194,1741617684.6049504,1741617684.6059659,1741617684.75545,1741617684.7565775,1741617684.7565954,1741617684.7566183,1741617684.7566319
ƒ8KNDRZq,1741617684.60544,1741617684.6158454,1741617684.6262388,1741617684.6262634,1741617684.7578237,1741617684.7580614,1741617684.7592218,1741617684.7592502,1741617684.759279,1741617684.7592936
ƒ8KuMAV5,1741617684.626725,1741617684.6371424,1741617684.6475382,1741617684.6475773,1741617684.758362,1741617684.7586253,1741617684.759341,1741617684.759367,1741617684.7593966,1741617684.7594109
ƒ8LSUuQK,1741617684.6480112,1741617684.6584392,1741617684.668822,1741617684.6688483,1741617684.7587328,1741617684.7590623,1741617684.759463,1741617684.7594807,1741617684.7595072,1741617684.7595198
ƒ8M16dbu,1741617684.6692894,1741617684.6797206,1741617684.6901019,1741617684.6901367,1741617684.7606862,1741617684.760914,1741617684.7620187,1741617684.7620468,1741617684.762076,1741617684.7620962
ƒ8MYENX9,1741617684.6905706,1741617684.700984,1741617684.711378,1741617684.711403,1741617684.7611947,1741617684.7614436,1741617684.7621446,1741617684.7621675,1741617684.7621956,1741617684.7622178
ƒ8N5N7SP,1741617684.7118347,1741617684.7222576,1741617684.7326488,1741617684.7326837,1741617684.761566,1741617684.7618666,1741617684.7622736,1741617684.7622907,1741617684.7623208,1741617684.7623327
ƒ8Ndyqdy,1741617684.7331092,1741617684.7435427,1741617684.7539394,1741617684.753967,1741617684.76328,1741617684.763489,1741617684.763591,1741617684.7636213,1741617684.7636442,1741617684.763657
