jobid,submit,validate,depend,priority,alloc,start,finish,release,free,clean
fFkRrby,1741551735.923879,1741551735.9343626,1741551735.9447103,1741551735.9447324,1741551735.9453967,1741551736.1377895,1741551736.1393435,1741551736.1393676,1741551736.1393855,1741551736.139399
fGK3aoZ,1741551735.9453578,1741551735.955931,1741551735.9662788,1741551735.9662936,1741551735.96683,1741551736.1381545,1741551736.1394334,1741551736.1394508,1741551736.1394713,1741551736.139481
fGrBKio,1741551735.9668267,1741551735.9774437,1741551735.9878135,1741551735.987827,1741551735.9883966,1741551736.1384687,1741551736.1395047,1741551736.1395192,1741551736.1395414,1741551736.1395493
fHQo3vP,1741551735.9883704,1741551735.9989738,1741551736.0093622,1741551736.0093753,1741551736.140223,1741551736.1405149,1741551736.1412551,1741551736.1412816,1741551736.141308,1741551736.1413162
fHwvnqd,1741551736.0098906,1741551736.0202858,1741551736.0306506,1741551736.0306711,1741551736.1404562,1741551736.1406682,1741551736.1413484,1741551736.141365,1741551736.1413856,1741551736.141393
fJWYX3D,1741551736.0311644,1741551736.041552,1741551736.0519109,1741551736.0519323,1741551736.1405976,1741551736.1408958,1741551736.141419,1741551736.1414359,1741551736.1414573,1741551736.1414657
fK3gFxT,1741551736.052431,1741551736.062811,1741551736.0731955,1741551736.073217,1741551736.1421225,1741551736.1423388,1741551736.1431606,1741551736.1431882,1741551736.1432166,1741551736.1432283
fKaozsh,1741551736.0737123,1741551736.084103,1741551736.0944796,1741551736.0945022,1741551736.142411,1741551736.1426127,1741551736.1432626,1741551736.1432776,1741551736.1433,1741551736.1433177
fL9Rj5H,1741551736.0950217,1741551736.1054196,1741551736.1157963,1741551736.1158178,1741551736.1424925,1741551736.1428103,1741551736.1433463,1741551736.1433609,1741551736.1433823,1741551736.1433916
fLgZTzX,1741551736.1163254,1741551736.1266718,1741551736.1370115,1741551736.137027,1741551736.143821,1741551736.1440964,1741551736.1442251,1741551736.1442494,1741551736.1442714,1741551736.14428
