jobid,submit,validate,depend,priority,alloc,start,finish,release,free,clean
fFpspT1,1741552207.152384,1741552207.1628647,1741552207.1732254,1741552207.1732445,1741552207.173836,1741552207.3656619,1741552207.3667204,1741552207.3667378,1741552207.366759,1741552207.3667676
fGN1ZNF,1741552207.1738875,1741552207.1845663,1741552207.1949084,1741552207.1949265,1741552207.3672411,1741552207.367551,1741552207.3676996,1741552207.367716,1741552207.367739,1741552207.367753
fGvdHZq,1741552207.1954265,1741552207.2057798,1741552207.216142,1741552207.2161593,1741552207.3682268,1741552207.368526,1741552207.3686633,1741552207.3686872,1741552207.3687074,1741552207.3687162
fHTm2V5,1741552207.2166493,1741552207.2270112,1741552207.2373621,1741552207.2373781,1741552207.3691752,1741552207.36947,1741552207.3696053,1741552207.3696222,1741552207.3696454,1741552207.3696575
fHztmQK,1741552207.2379122,1741552207.2482696,1741552207.2586327,1741552207.2586448,1741552207.3701267,1741552207.3704202,1741552207.3705547,1741552207.370578,1741552207.3705978,1741552207.3706083
fJZWVbu,1741552207.2591298,1741552207.2694983,1741552207.279869,1741552207.2798963,1741552207.3710907,1741552207.3713808,1741552207.3715198,1741552207.3715365,1741552207.371557,1741552207.371565
fK6eEX9,1741552207.2803853,1741552207.290767,1741552207.3011396,1741552207.301159,1741552207.372037,1741552207.3723307,1741552207.372466,1741552207.372486,1741552207.3725078,1741552207.3725152
fKdmySP,1741552207.3016431,1741552207.3120546,1741552207.3224223,1741552207.3224413,1741552207.373003,1741552207.3732946,1741552207.37343,1741552207.3734474,1741552207.3734698,1741552207.3734841
fLAuiMd,1741552207.322905,1741552207.3333085,1741552207.343683,1741552207.343696,1741552207.3739464,1741552207.3742452,1741552207.3743804,1741552207.3743978,1741552207.3744187,1741552207.3744261
fLjXSZD,1741552207.3441846,1741552207.3545287,1741552207.3648682,1741552207.3648872,1741552207.3748524,1741552207.3751385,1741552207.375275,1741552207.375294,1741552207.3753092,1741552207.3753166
