jobid,submit,validate,depend,priority,alloc,start,finish,release,free,clean
5872025600,1741616589.8925393,,1741616589.9041233,,1741616589.9055688,1741616590.0304742,1741616590.0312521,1741616590.0313098,1741616590.031599,1741616590.031602
6123683840,1741616589.9072876,,1741616589.9184527,,1741616589.9197729,1741616590.0306635,1741616590.0313747,1741616590.0314522,1741616590.0321655,1741616590.0321705
6358564864,1741616589.9212992,,1741616589.9324794,,1741616589.9338157,1741616590.0308385,1741616590.031519,1741616590.031579,1741616590.03226,1741616590.0322633
6593445888,1741616589.9352622,,1741616589.9464252,,1741616590.0326672,1741616590.03293,1741616590.0470574,1741616590.0471272,1741616590.0473876,1741616590.0473912
6828326912,1741616589.9491992,,1741616589.9603574,,1741616590.0340137,1741616590.0342631,1741616590.0471878,1741616590.0472767,1741616590.0479338,1741616590.047938
7063207936,1741616589.9631233,,1741616589.9742951,,1741616590.0353172,1741616590.035588,1741616590.047342,1741616590.0474179,1741616590.0480268,1741616590.0480304
7281311744,1741616589.9770317,,1741616589.9881985,,1741616590.0484092,1741616590.0486739,1741616590.062992,1741616590.0630493,1741616590.063365,1741616590.063368
7516192768,1741616589.9909248,,1741616590.0020885,,1741616590.0496974,1741616590.0499625,1741616590.0631177,1741616590.0631974,1741616590.0639124,1741616590.0639164
7751073792,1741616590.0048513,,1741616590.0160236,,1741616590.0509777,1741616590.0512412,1741616590.0632644,1741616590.0633202,1741616590.0640066,1741616590.06401
7985954816,1741616590.0187764,,1741616590.0299397,,1741616590.0643861,1741616590.0646667,1741616590.0776238,1741616590.0776799,1741616590.0779848,1741616590.077989
