jobid,submit,validate,depend,priority,alloc,start,finish,release,free,clean
5972688896,1741616883.4492567,,1741616883.4609103,,1741616883.462388,1741616883.5879495,1741616883.5884948,1741616883.588555,1741616883.5889,1741616883.5889044
6224347136,1741616883.4642148,,1741616883.4754527,,1741616883.5898678,1741616883.5901859,1741616883.6007342,1741616883.6007981,1741616883.601104,1741616883.6011107
6459228160,1741616883.478313,,1741616883.489545,,1741616883.602102,1741616883.6024144,1741616883.6145835,1741616883.6146536,1741616883.614933,1741616883.6149378
6694109184,1741616883.49227,,1741616883.5034862,,1741616883.6159005,1741616883.6162043,1741616883.6280904,1741616883.6281333,1741616883.6284714,1741616883.628476
6928990208,1741616883.5062342,,1741616883.5174541,,1741616883.6294107,1741616883.6296875,1741616883.6417415,1741616883.6417933,1741616883.6420538,1741616883.642058
7163871232,1741616883.5201938,,1741616883.5314202,,1741616883.6429825,1741616883.643247,1741616883.6552129,1741616883.6552668,1741616883.655532,1741616883.6555355
7398752256,1741616883.5341647,,1741616883.5453901,,1741616883.6564746,1741616883.6567426,1741616883.668725,1741616883.6687787,1741616883.6690407,1741616883.6690454
7633633280,1741616883.5481021,,1741616883.5593364,,1741616883.669969,1741616883.6702292,1741616883.682177,1741616883.682232,1741616883.6825526,1741616883.6825562
7851737088,1741616883.5620167,,1741616883.5733624,,1741616883.683493,1741616883.6837466,1741616883.6957495,1741616883.6958036,1741616883.6960638,1741616883.6960692
8103395328,1741616883.5761003,,1741616883.5873766,,1741616883.6969905,1741616883.69725,1741616883.7087505,1741616883.7088056,1741616883.709137,1741616883.7091427
